station_id;station_number;name;capacity;coordinates
324;213695073;Hôpital Robert Debré;33;POINT(48.8795687639 2.40122069022)
325;213995665;Square Edmond Pépin;30;POINT(48.8836562069 2.40335315466)
326;362178041;Place Jules Ferry;28;POINT(48.8121079284 2.32583731413)
327;6295;Pontoise - La Tournelle;23;POINT(48.8504580092 2.35245427549)
328;308082350;Malakoff - Place de la Porte Maillot;31;POINT(48.8767334966 2.28345774114)
329;84958519;Arcole - Notre-Dame;31;POINT(48.8538835413 2.3493797332)
330;653081846;Jourdan - Monticelli;30;POINT(48.822032 2.329095)
331;102745622;Raspail - Albert Schweitzer;28;POINT(48.81031545 2.34395871)
332;100925033;Gare de Lyon - Chalon;50;POINT(48.8456661942 2.37414523959)
333;100934967;Madagascar - Meuniers;33;POINT(48.8346046447 2.3970650509)
334;27415547;Square Etienne Jarousse;25;POINT(48.824851826 2.29259334505)
335;131908132;Parc Eli Lotar;20;POINT(48.9184499305 2.37270858139)
336;15308712;Jules Vallès - Charonne;23;POINT(48.8542843799 2.38476745784)
337;54000616;Pyrénées - Avron;32;POINT(48.8532468982 2.40587104453)
338;66489651;Louis le Grand - Italiens;33;POINT(48.8705089372 2.33405446194)
339;7268;Charenton - Jardiniers;31;POINT(48.8338217729 2.39469266411)
340;653147618;Lucien Lanternier - Le Luth;27;POINT(48.9315943056 2.28897839785)
341;1057290902;Cours de Vincennes - Soult;45;POINT(48.8469187616 2.4105220288)
342;54000542;Blancs-Manteaux - Archives;29;POINT(48.859418007 2.35594712198)
343;54000537;Saint-Gilles - Turenne;18;POINT(48.8581589568 2.3647149921)
344;653094517;Cesaria Evora - Rosa Parks;40;POINT(48.8971767283 2.37451739609)
345;210386007;Alger - Rivoli;21;POINT(48.8647735535 2.32944939361)
346;54000573;Cardinal Lavigerie;46;POINT(48.8329341937 2.4026367494)
347;208603342;Coquillière - Louvre;21;POINT(48.8637959097 2.34257362783)
